t_sec,FHR,UC
0.0,116.25,0.0
0.25,116.25,0.0
0.5,116.75,0.0
0.75,116.75,0.0
1.0,124.5,0.0
1.25,124.5,0.0
1.5,129.75,3.0
1.75,129.75,3.0
2.0,132.75,9.0
2.25,132.75,9.0
2.5,140.25,13.0
2.75,135.75,13.0
3.0,135.75,14.0
3.25,138.25,14.0
3.5,138.25,14.0
3.75,136.25,14.0
4.0,136.25,16.0
4.25,134.0,16.0
4.5,131.0,19.0
4.75,131.0,19.0
5.0,130.5,21.0
5.25,130.5,21.0
5.5,132.25,20.0
5.75,132.25,20.0
6.0,134.5,17.0
6.25,134.5,17.0
6.5,134.5,13.0
6.75,134.5,13.0
7.0,131.5,10.0
7.25,130.5,10.0
7.5,130.5,9.0
7.75,130.5,9.0
8.0,130.5,10.0
8.25,131.5,10.0
8.5,131.5,12.0
8.75,129.75,12.0
9.0,129.75,11.0
9.25,128.75,11.0
9.5,128.75,10.0
9.75,129.25,10.0
10.0,130.5,12.0
10.25,130.5,12.0
10.5,129.75,11.0
10.75,129.75,11.0
11.0,133.25,10.0
11.25,133.25,10.0
11.5,132.75,12.0
11.75,132.75,12.0
12.0,132.25,10.0
12.25,134.5,10.0
12.5,134.5,9.0
12.75,135.75,9.0
13.0,135.75,12.0
13.25,135.75,12.0
13.5,135.75,11.0
13.75,137.0,11.0
14.0,138.25,9.0
14.25,138.25,9.0
14.5,137.0,10.0
14.75,137.0,10.0
15.0,139.0,11.0
15.25,139.0,11.0
15.5,138.25,9.0
15.75,138.25,9.0
16.0,138.25,10.0
16.25,139.5,10.0
16.5,139.5,10.0
16.75,140.25,10.0
17.0,140.25,9.0
17.25,139.0,9.0
17.5,138.25,13.0
17.75,138.25,13.0
18.0,135.25,17.0
18.25,135.25,17.0
18.5,135.75,18.0
18.75,135.75,18.0
19.0,132.25,21.0
19.25,132.25,21.0
19.5,131.0,24.0
19.75,131.5,24.0
20.0,131.5,24.0
20.25,133.25,24.0
20.5,133.25,24.0
20.75,134.0,24.0
21.0,134.0,25.0
21.25,134.0,25.0
21.5,134.0,26.0
21.75,132.75,26.0
22.0,134.5,26.0
22.25,134.5,26.0
22.5,131.5,25.0
22.75,131.5,25.0
23.0,131.5,23.0
23.25,131.5,23.0
23.5,132.25,21.0
23.75,132.25,21.0
24.0,133.25,19.0
24.25,132.75,19.0
24.5,132.75,19.0
24.75,132.75,19.0
25.0,132.75,19.0
25.25,133.25,19.0
25.5,133.25,18.0
25.75,132.75,18.0
26.0,132.75,17.0
26.25,131.5,17.0
26.5,130.5,17.0
26.75,130.5,17.0
27.0,131.0,17.0
27.25,131.0,17.0
27.5,132.25,17.0
27.75,132.25,17.0
28.0,132.25,17.0
28.25,132.25,17.0
28.5,134.5,16.0
28.75,134.5,16.0
29.0,135.75,16.0
29.25,140.25,16.0
29.5,140.25,16.0
29.75,142.25,16.0
30.0,142.25,15.0
30.25,141.5,15.0
30.5,139.5,15.0
30.75,139.5,15.0
31.0,139.0,15.0
31.25,139.0,15.0
31.5,136.25,14.0
31.75,136.25,14.0
32.0,134.5,12.0
32.25,132.75,12.0
32.5,132.75,7.0
32.75,131.5,7.0
33.0,131.5,7.0
33.25,131.5,7.0
33.5,131.5,11.0
33.75,132.75,11.0
34.0,132.75,14.0
34.25,134.5,14.0
34.5,135.75,11.0
34.75,135.75,11.0
35.0,136.25,7.0
35.25,136.25,7.0
35.5,135.75,8.0
35.75,135.75,8.0
36.0,136.25,11.0
36.25,135.75,11.0
36.5,135.75,9.0
36.75,137.0,9.0
37.0,137.0,6.0
37.25,135.75,6.0
37.5,135.75,8.0
37.75,136.25,8.0
38.0,136.25,13.0
38.25,136.25,13.0
38.5,137.0,13.0
38.75,137.0,13.0
39.0,137.0,12.0
39.25,137.0,12.0
39.5,137.5,11.0
39.75,137.5,11.0
40.0,135.75,10.0
40.25,133.25,10.0
40.5,133.25,7.0
40.75,134.5,7.0
41.0,134.5,4.0
41.25,135.25,4.0
41.5,135.25,6.0
41.75,134.5,6.0
42.0,135.25,12.0
42.25,135.25,12.0
42.5,135.75,14.0
42.75,135.75,14.0
43.0,134.5,14.0
43.25,134.5,14.0
43.5,134.5,13.0
43.75,134.5,13.0
44.0,134.5,11.0
44.25,134.5,11.0
44.5,134.5,8.0
44.75,134.0,8.0
45.0,134.0,8.0
45.25,132.25,8.0
45.5,132.25,10.0
45.75,132.75,10.0
46.0,132.75,8.0
46.25,132.75,8.0
46.5,133.25,6.0
46.75,133.25,6.0
47.0,132.25,7.0
47.25,132.25,7.0
47.5,133.25,9.0
47.75,133.25,9.0
48.0,135.25,10.0
48.25,135.25,10.0
48.5,135.25,7.0
48.75,135.25,7.0
49.0,135.25,5.0
49.25,134.5,5.0
49.5,134.5,8.0
49.75,135.75,8.0
50.0,135.75,10.0
50.25,136.25,10.0
50.5,139.5,8.0
50.75,139.5,8.0
51.0,139.5,8.0
51.25,139.5,8.0
51.5,140.25,10.0
51.75,141.5,10.0
52.0,141.5,7.0
52.25,141.5,7.0
52.5,141.5,5.0
52.75,142.25,5.0
53.0,142.25,6.0
53.25,142.25,6.0
53.5,142.25,4.0
53.75,142.25,4.0
54.0,142.25,4.0
54.25,142.25,4.0
54.5,142.25,5.0
54.75,142.25,5.0
55.0,142.25,4.0
55.25,142.25,4.0
55.5,142.25,5.0
55.75,142.75,5.0
56.0,140.25,7.0
