threshold,precision,recall,f1,fbeta,tn,fp,fn,tp
0.01,0.15492957746478872,1.0,0.2682926829268293,0.26829268292682923,0,60,0,11
0.02,0.15492957746478872,1.0,0.2682926829268293,0.26829268292682923,0,60,0,11
0.03,0.15492957746478872,1.0,0.2682926829268293,0.26829268292682923,0,60,0,11
0.04,0.15492957746478872,1.0,0.2682926829268293,0.26829268292682923,0,60,0,11
0.05,0.15492957746478872,1.0,0.2682926829268293,0.26829268292682923,0,60,0,11
0.060000000000000005,0.15492957746478872,1.0,0.2682926829268293,0.26829268292682923,0,60,0,11
0.06999999999999999,0.15492957746478872,1.0,0.2682926829268293,0.26829268292682923,0,60,0,11
0.08,0.15492957746478872,1.0,0.2682926829268293,0.26829268292682923,0,60,0,11
0.09,0.15714285714285714,1.0,0.2716049382716049,0.271604938271605,1,59,0,11
0.09999999999999999,0.15942028985507245,1.0,0.275,0.27499999999999997,2,58,0,11
0.11,0.15942028985507245,1.0,0.275,0.27499999999999997,2,58,0,11
0.12,0.15942028985507245,1.0,0.275,0.27499999999999997,2,58,0,11
0.13,0.16176470588235295,1.0,0.27848101265822783,0.27848101265822783,3,57,0,11
0.14,0.16417910447761194,1.0,0.28205128205128205,0.28205128205128205,4,56,0,11
0.15000000000000002,0.16417910447761194,1.0,0.28205128205128205,0.28205128205128205,4,56,0,11
0.16,0.16417910447761194,1.0,0.28205128205128205,0.28205128205128205,4,56,0,11
0.17,0.16417910447761194,1.0,0.28205128205128205,0.28205128205128205,4,56,0,11
0.18000000000000002,0.16666666666666666,1.0,0.2857142857142857,0.2857142857142857,5,55,0,11
0.19,0.16923076923076924,1.0,0.2894736842105263,0.2894736842105263,6,54,0,11
0.2,0.16923076923076924,1.0,0.2894736842105263,0.2894736842105263,6,54,0,11
0.21000000000000002,0.171875,1.0,0.29333333333333333,0.29333333333333333,7,53,0,11
0.22,0.171875,1.0,0.29333333333333333,0.29333333333333333,7,53,0,11
0.23,0.1746031746031746,1.0,0.2972972972972973,0.29729729729729726,8,52,0,11
0.24000000000000002,0.18032786885245902,1.0,0.3055555555555556,0.3055555555555556,10,50,0,11
0.25,0.18032786885245902,1.0,0.3055555555555556,0.3055555555555556,10,50,0,11
0.26,0.1864406779661017,1.0,0.3142857142857143,0.3142857142857143,12,48,0,11
0.27,0.1896551724137931,1.0,0.3188405797101449,0.3188405797101449,13,47,0,11
0.28,0.19298245614035087,1.0,0.3235294117647059,0.3235294117647059,14,46,0,11
0.29000000000000004,0.19642857142857142,1.0,0.3283582089552239,0.3283582089552239,15,45,0,11
0.3,0.2037037037037037,1.0,0.3384615384615385,0.3384615384615384,17,43,0,11
0.31,0.21153846153846154,1.0,0.3492063492063492,0.34920634920634924,19,41,0,11
0.32,0.21568627450980393,1.0,0.3548387096774194,0.3548387096774193,20,40,0,11
0.33,0.22,1.0,0.36065573770491804,0.36065573770491804,21,39,0,11
0.34,0.22916666666666666,1.0,0.3728813559322034,0.37288135593220334,23,37,0,11
0.35000000000000003,0.21739130434782608,0.9090909090909091,0.3508771929824561,0.3508771929824562,24,36,1,10
0.36000000000000004,0.2222222222222222,0.9090909090909091,0.35714285714285715,0.3571428571428571,25,35,1,10
